poid,milestone,invoice_no,po_type
1011HG2894715-124-3-1,MS1,INV-000069,SERVICE_PROCUREMENT
1011HG2894715-124-4-1,MS1,INV-000069,SERVICE_PROCUREMENT
1011HG2894715-124-2-1,MS1,INV-000069,SERVICE_PROCUREMENT
1011HG2894715-124-1-1,MS1,INV-000069,SERVICE_PROCUREMENT
1011HG2894715-125-1-1,MS1,INV-000070,SERVICE_PROCUREMENT
1011HG2894715-125-2-1,MS1,INV-000070,SERVICE_PROCUREMENT
1011HG2894715-130-2-1,MS1,INV-000071,SERVICE_PROCUREMENT
1011HG2894715-130-1-1,MS1,INV-000071,SERVICE_PROCUREMENT
1011HG2894715-131-1-1,MS1,INV-000072,SERVICE_PROCUREMENT
1011HG2894715-131-2-1,MS1,INV-000072,SERVICE_PROCUREMENT
1011HG2894715-139-1-1,MS1,INV-000073,SERVICE_PROCUREMENT
1011HG2894715-139-2-1,MS1,INV-000073,SERVICE_PROCUREMENT
1011HG2894715-144-1-1,MS1,INV-000074,SERVICE_PROCUREMENT
1011HG2894715-142-1-1,MS1,INV-000075,SERVICE_PROCUREMENT
1011HG2894715-143-1-1,MS1,INV-000076,SERVICE_PROCUREMENT
1011HG2894715-145-1-1,MS1,INV-000077,SERVICE_PROCUREMENT
1011HG2894715-149-2-1,MS1,INV-000078,SERVICE_PROCUREMENT
1011HG2894715-149-1-1,MS1,INV-000078,SERVICE_PROCUREMENT
1011HG2894715-150-2-1,MS1,INV-000079,SERVICE_PROCUREMENT
1011HG2894715-150-1-1,MS1,INV-000079,SERVICE_PROCUREMENT
1011HG2894715-151-2-1,MS1,INV-000080,SERVICE_PROCUREMENT
1011HG2894715-151-1-1,MS1,INV-000080,SERVICE_PROCUREMENT
1011HG2894715-159-1-1,MS1,INV-000081,SERVICE_PROCUREMENT
1011HG2894715-159-2-1,MS1,INV-000081,SERVICE_PROCUREMENT
1011HG2894715-160-2-1,MS1,INV-000082,SERVICE_PROCUREMENT
1011HG2894715-160-1-1,MS1,INV-000082,SERVICE_PROCUREMENT
1011HG2894715-163-1-1,MS1,INV-000083,SERVICE_PROCUREMENT
1011HG2894715-19-1-1,MS1,INV-000084,SERVICE_PROCUREMENT
1011HG2894715-20-1-1,MS1,INV-000085,SERVICE_PROCUREMENT
1011HG2894715-23-1-1,MS1,INV-000086,SERVICE_PROCUREMENT
1011HG2894715-24-1-1,MS1,INV-000087,SERVICE_PROCUREMENT
1011HG2894715-27-1-1,MS1,INV-000088,SERVICE_PROCUREMENT
1011HG2894715-28-1-1,MS1,INV-000089,SERVICE_PROCUREMENT
1011HG2894715-29-1-1,MS1,INV-000090,SERVICE_PROCUREMENT
1011HG2894715-31-1-1,MS1,INV-000091,SERVICE_PROCUREMENT
1011HG2894715-32-1-1,MS1,INV-000092,SERVICE_PROCUREMENT
1011HG2894715-33-1-1,MS1,INV-000093,SERVICE_PROCUREMENT
1011HG2894715-34-2-1,MS1,INV-000094,SERVICE_PROCUREMENT
1011HG2894715-34-1-1,MS1,INV-000094,SERVICE_PROCUREMENT
1011HG2894715-35-1-1,MS1,INV-000095,SERVICE_PROCUREMENT
1011HG2894715-35-2-1,MS1,INV-000095,SERVICE_PROCUREMENT
1011HG2894715-36-1-1,MS1,INV-000096,SERVICE_PROCUREMENT
1011HG2894715-8-1-1,MS1,INV-000097,SERVICE_PROCUREMENT
1011HG2894715-8-2-1,MS1,INV-000097,SERVICE_PROCUREMENT
1011HG2894715-9-1-1,MS1,INV-000098,SERVICE_PROCUREMENT
1011HG2894717-14-1-1,MS1,INV-000099,SERVICE_PROCUREMENT
1011HG2894717-15-1-1,MS1,INV-000100,SERVICE_PROCUREMENT
1011HG2894717-15-2-1,MS1,INV-000100,SERVICE_PROCUREMENT
1011HG2894717-16-2-1,MS1,INV-000101,SERVICE_PROCUREMENT
1011HG2894717-16-1-1,MS1,INV-000101,SERVICE_PROCUREMENT
1011HG2894717-17-2-1,MS1,INV-000102,SERVICE_PROCUREMENT
1011HG2894717-17-1-1,MS1,INV-000102,SERVICE_PROCUREMENT
1011HG2894717-2-1-1,MS1,INV-000103,SERVICE_PROCUREMENT
1011HG2894717-33-1-1,MS1,INV-000104,SERVICE_PROCUREMENT
1011HG2894717-33-2-1,MS1,INV-000104,SERVICE_PROCUREMENT
1011HG2894717-34-2-1,MS1,INV-000105,SERVICE_PROCUREMENT
1011HG2894717-34-1-1,MS1,INV-000105,SERVICE_PROCUREMENT
